Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Bayern,LK Amberg-Sulzbach,09371,Feature,[object Object]
Bayern,SK Erlangen,09562,Feature,[object Object]
Bayern,LK Schwandorf,09376,Feature,[object Object]
Bayern,LK Mühldorf a.Inn,09183,Feature,[object Object]
Bayern,SK Weiden i.d.OPf.,09363,Feature,[object Object]
Bayern,LK Freyung-Grafenau,09272,Feature,[object Object]
Bayern,LK Forchheim,09474,Feature,[object Object]
Bayern,LK Erlangen-Höchstadt,09572,Feature,[object Object]
Bayern,SK Fürth,09563,Feature,[object Object]
Bayern,LK Wunsiedel i.Fichtelgebirge,09479,Feature,[object Object]
Bayern,LK Straubing-Bogen,09278,Feature,[object Object]
Bayern,LK Dingolfing-Landau,09279,Feature,[object Object]
Bayern,LK Landshut,09274,Feature,[object Object]
Bayern,LK Bad Tölz-Wolfratshausen,09173,Feature,[object Object]
Bayern,LK Weilheim-Schongau,09190,Feature,[object Object]
Bayern,LK Miesbach,09182,Feature,[object Object]
Bayern,LK Augsburg,09772,Feature,[object Object]
Bayern,LK Bayreuth,09472,Feature,[object Object]
Bayern,SK Augsburg,09761,Feature,[object Object]
Bayern,LK Aichach-Friedberg,09771,Feature,[object Object]
Bayern,LK Traunstein,09189,Feature,[object Object]
Bayern,LK Fürth,09573,Feature,[object Object]
Bayern,SK Nürnberg,09564,Feature,[object Object]
Bayern,LK Schweinfurt,09678,Feature,[object Object]
Bayern,SK Schweinfurt,09662,Feature,[object Object]
Bayern,SK Bayreuth,09462,Feature,[object Object]
Bayern,LK Würzburg,09679,Feature,[object Object]
Bayern,LK Ostallgäu,09777,Feature,[object Object]
Bayern,LK Berchtesgadener Land,09172,Feature,[object Object]
Bayern,LK Garmisch-Partenkirchen,09180,Feature,[object Object]
Bayern,LK Coburg,09473,Feature,[object Object]
Bayern,SK Ansbach,09561,Feature,[object Object]
Bayern,LK Kronach,09476,Feature,[object Object]
Bayern,LK Hof,09475,Feature,[object Object]
Bayern,LK Ansbach,09571,Feature,[object Object]
Bayern,SK Schwabach,09565,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Berlin,SK Berlin Mitte,11001,Feature,[object Object]
Berlin,SK Berlin Friedrichshain-Kreuzberg,11002,Feature,[object Object]
Berlin,SK Berlin Pankow,11003,Feature,[object Object]
Berlin,SK Berlin Charlottenburg-Wilmersdorf,11004,Feature,[object Object]
Berlin,SK Berlin Steglitz-Zehlendorf,11006,Feature,[object Object]
Berlin,SK Berlin Tempelhof-Schöneberg,11007,Feature,[object Object]
Berlin,SK Berlin Neukölln,11008,Feature,[object Object]
Berlin,SK Berlin Treptow-Köpenick,11009,Feature,[object Object]
Berlin,SK Berlin Marzahn-Hellersdorf,11010,Feature,[object Object]
Berlin,SK Berlin Lichtenberg,11011,Feature,[object Object]
Berlin,SK Berlin Reinickendorf,11012,Feature,[object Object]
Berlin,SK Berlin Spandau,11005,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Brandenburg,LK Teltow-Fläming,12072,Feature,[object Object]
Brandenburg,LK Potsdam-Mittelmark,12069,Feature,[object Object]
Brandenburg,SK Potsdam,12054,Feature,[object Object]
Brandenburg,SK Frankfurt (Oder),12053,Feature,[object Object]
Brandenburg,LK Uckermark,12073,Feature,[object Object]
Brandenburg,LK Barnim,12060,Feature,[object Object]
Brandenburg,SK Cottbus,12052,Feature,[object Object]
Brandenburg,LK Oder-Spree,12067,Feature,[object Object]
Brandenburg,LK Dahme-Spreewald,12061,Feature,[object Object]
Brandenburg,LK Prignitz,12070,Feature,[object Object]
Brandenburg,LK Märkisch-Oderland,12064,Feature,[object Object]
Brandenburg,LK Havelland,12063,Feature,[object Object]
Brandenburg,SK Brandenburg a.d.Havel,12051,Feature,[object Object]
Brandenburg,LK Oberspreewald-Lausitz,12066,Feature,[object Object]
Brandenburg,LK Ostprignitz-Ruppin,12068,Feature,[object Object]
Brandenburg,LK Oberhavel,12065,Feature,[object Object]
Brandenburg,LK Spree-Neiße,12071,Feature,[object Object]
Brandenburg,LK Elbe-Elster,12062,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Bremen,SK Bremen,04011,Feature,[object Object]
Bremen,SK Bremerhaven,04012,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Hamburg,SK Hamburg,02000,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Hessen,LK Fulda,06631,Feature,[object Object]
Hessen,LK Main-Kinzig-Kreis,06435,Feature,[object Object]
Hessen,LK Offenbach,06438,Feature,[object Object]
Hessen,LK Schwalm-Eder-Kreis,06634,Feature,[object Object]
Hessen,LK Limburg-Weilburg,06533,Feature,[object Object]
Hessen,LK Lahn-Dill-Kreis,06532,Feature,[object Object]
Hessen,LK Marburg-Biedenkopf,06534,Feature,[object Object]
Hessen,SK Wiesbaden,06414,Feature,[object Object]
Hessen,SK Frankfurt am Main,06412,Feature,[object Object]
Hessen,LK Hochtaunuskreis,06434,Feature,[object Object]
Hessen,LK Wetteraukreis,06440,Feature,[object Object]
Hessen,LK Kassel,06633,Feature,[object Object]
Hessen,LK Waldeck-Frankenberg,06635,Feature,[object Object]
Hessen,SK Offenbach,06413,Feature,[object Object]
Hessen,LK Gießen,06531,Feature,[object Object]
Hessen,LK Hersfeld-Rotenburg,06632,Feature,[object Object]
Hessen,LK Odenwaldkreis,06437,Feature,[object Object]
Hessen,LK Vogelsbergkreis,06535,Feature,[object Object]
Hessen,LK Main-Taunus-Kreis,06436,Feature,[object Object]
Hessen,SK Kassel,06611,Feature,[object Object]
Hessen,LK Rheingau-Taunus-Kreis,06439,Feature,[object Object]
Hessen,LK Bergstraße,06431,Feature,[object Object]
Hessen,LK Werra-Meißner-Kreis,06636,Feature,[object Object]
Hessen,LK Groß-Gerau,06433,Feature,[object Object]
Hessen,SK Darmstadt,06411,Feature,[object Object]
Hessen,LK Darmstadt-Dieburg,06432,Feature,[object Object]Bundesland,RKI_NameDE,gemeindeschluessel,type,geometry
Mecklenburg-Vorpommern,LK LudwigslustParchim,13076,Feature,[object Object]
Mecklenburg-Vorpommern,LK VorpommernGreifswald,13075,Feature,[object Object]
Mecklenburg-Vorpommern,SK Schwerin,13004,Feature,[object Object]
Mecklenburg-Vorpommern,LK Mecklenburgische Seenplatte,13071,Feature,[object Object]
Mecklenburg-Vorpommern,LK Rostock,13072,Feature,[object Object]
